194112   -0.07
194201   0.33
194202   -0.30
194203   0.01
194204   0.01
194205   -0.02
194206   0.15
194207   -0.09
194208   -0.06
194209   0.09
194210   0.18
194211   0.27
194212   0.14
194301   -0.38
194302   0.29
194303   -0.13
194304   0.24
194305   0.18
194306   -0.28
194307   0.00
194308   -0.12
194309   0.00
194310   0.41
194311   0.11
194312   0.57
194401   0.80
194402   0.35
194403   0.34
194404   0.01
194405   0.08
194406   0.13
194407   0.15
194408   0.15
194409   0.42
194410   0.38
194411   -0.09
194412   -0.29
194501   -0.18
194502   -0.64
194503   -0.14
194504   0.24
194505   -0.10
194506   -0.05
194507   -0.11
194508   0.40
194509   0.14
194510   0.22
194511   -0.01
194512   -0.52
194601   0.33
194602   0.31
194603   -0.10
194604   0.42
194605   -0.01
194606   -0.23
194607   -0.02
194608   -0.02
194609   -0.04
194610   -0.04
194611   0.08
194612   -0.68
194701   -0.30
194702   -0.15
194703   0.36
194704   0.27
194705   0.01
194706   0.02
194707   -0.07
194708   -0.06
194709   0.03
194710   0.47
194711   0.16
194712   -0.13
194801   0.62
194802   -0.02
194803   -0.33
194804   0.05
194805   0.21
194806   0.12
194807   0.04
194808   0.03
194809   0.05
194810   0.13
194811   0.06
194812   -0.19
194901   0.49
194902   -0.40
194903   -0.16
194904   0.03
194905   0.11
194906   -0.20
194907   -0.16
194908   0.01
194909   -0.15
194910   0.03
194911   0.06
194912   -0.35
195001   -0.77
195002   -0.46
195003   -0.12
195004   -0.31
195005   -0.02
195006   -0.12
195007   -0.29
195008   -0.38
195009   -0.11
195010   -0.26
195011   -0.83
195012   -0.15
195101   -0.59
195102   -0.99
195103   -0.25
195104   -0.11
195105   0.16
195106   -0.12
195107   0.02
195108   0.09
195109   0.31
195110   0.18
195111   -0.03
195112   0.59
195201   0.30
195202   0.06
195203   -0.32
195204   0.04
195205   0.03
195206   0.00
195207   0.13
195208   0.04
195209   0.16
195210   -0.23
195211   -0.73
195212   -0.12
195301   0.20
195302   0.38
195303   0.49
195304   0.36
195305   0.18
195306   0.18
195307   0.06
195308   0.15
195309   0.16
195310   0.20
195311   -0.23
195312   0.27
195401   -0.68
195402   -0.21
195403   -0.20
195404   -0.28
195405   -0.37
195406   -0.07
195407   -0.13
195408   0.04
195409   0.08
195410   0.11
195411   0.41
195412   -0.23
195501   0.66
195502   -0.05
195503   -0.73
195504   -0.45
195505   -0.10
195506   0.01
195507   -0.20
195508   0.13
195509   -0.02
195510   0.09
195511   -0.29
195512   -0.44
195601   -0.41
195602   -0.62
195603   -0.41
195604   -0.51
195605   -0.42
195606   -0.22
195607   -0.22
195608   -0.40
195609   -0.41
195610   -0.38
195611   -0.41
195612   -0.40
195701   -0.33
195702   -0.36
195703   -0.31
195704   -0.27
195705   -0.07
195706   0.12
195707   -0.17
195708   0.05
195709   0.13
195710   -0.05
195711   0.18
195712   0.62
195801   0.76
195802   0.38
195803   0.12
195804   0.10
195805   0.17
195806   -0.07
195807   0.06
195808   -0.02
195809   -0.14
195810   -0.01
195811   0.15
195812   0.25
195901   0.22
195902   0.05
195903   0.56
195904   0.26
195905   -0.08
195906   0.18
195907   0.10
195908   0.04
195909   0.12
195910   -0.18
195911   -0.34
195912   -0.02
196001   0.05
196002   0.65
196003   -0.74
196004   -0.23
196005   -0.43
196006   0.14
196007   -0.09
196008   0.03
196009   0.07
196010   0.02
196011   -0.25
196012   0.65
196101   0.30
196102   0.40
196103   0.40
196104   0.18
196105   0.24
196106   0.16
196107   0.00
196108   0.00
196109   0.02
196110   -0.22
196111   0.05
196112   -0.16
196201   0.35
196202   0.49
196203   0.33
196204   0.19
196205   0.00
196206   -0.14
196207   -0.02
196208   -0.05
196209   0.01
196210   0.16
196211   0.18
196212   0.34
196301   0.16
196302   0.90
196303   0.03
196304   -0.17
196305   -0.19
196306   -0.11
196307   0.17
196308   0.21
196309   0.32
196310   0.60
196311   0.46
196312   0.13
196401   0.12
196402   -0.20
196403   -0.30
196404   -0.36
196405   -0.10
196406   -0.16
196407   -0.15
196408   -0.20
196409   -0.30
196410   -0.50
196411   -0.16
196412   -0.35
196501   0.11
196502   -0.38
196503   -0.09
196504   -0.42
196505   -0.10
196506   -0.07
196507   -0.16
196508   -0.18
196509   -0.16
196510   0.14
196511   -0.25
196512   0.05
196601   -0.16
196602   -0.04
196603   0.11
196604   -0.28
196605   -0.03
196606   0.18
196607   0.17
196608   0.09
196609   0.09
196610   -0.15
196611   -0.17
196612   -0.47
196701   -0.21
196702   -0.39
196703   0.09
196704   0.13
196705   0.33
196706   -0.21
196707   -0.11
196708   -0.12
196709   -0.10
196710   0.52
196711   0.09
196712   0.11
196801   -0.35
196802   -0.07
196803   0.86
196804   -0.04
196805   -0.22
196806   -0.23
196807   -0.16
196808   -0.18
196809   -0.21
196810   -0.12
196811   -0.20
196812   -0.48
196901   -1.05
196902   -0.88
196903   -0.05
196904   0.10
196905   0.04
196906   -0.04
196907   0.11
196908   0.00
196909   -0.07
196910   -0.05
196911   0.40
196912   0.47
197001   0.07
197002   0.56
197003   -0.13
197004   0.21
197005   0.01
197006   0.13
197007   0.09
197008   -0.02
197009   0.03
197010   -0.22
197011   -0.02
197012   -0.23
197101   0.12
197102   -0.37
197103   -0.14
197104   -0.15
197105   -0.09
197106   -0.17
197107   -0.07
197108   -0.04
197109   0.11
197110   -0.03
197111   0.38
197112   0.16
197201   -0.89
197202   -0.77
197203   0.02
197204   0.03
197205   -0.06
197206   0.07
197207   -0.06
197208   0.05
197209   -0.22
197210   -0.07
197211   -0.24
197212   0.15
197301   0.28
197302   0.81
197303   0.79
197304   0.50
197305   0.35
197306   0.47
197307   0.23
197308   0.14
197309   0.06
197310   0.09
197311   0.01
197312   0.28
197401   -0.62
197402   -0.65
197403   0.09
197404   0.09
197405   -0.05
197406   -0.08
197407   0.06
197408   -0.05
197409   -0.17
197410   -0.30
197411   -0.23
197412   -0.31
197501   0.38
197502   0.13
197503   0.42
197504   0.29
197505   0.23
197506   0.19
197507   0.09
197508   -0.10
197509   0.22
197510   -0.13
197511   -0.18
197512   0.07
197601   0.26
197602   -0.21
197603   -0.67
197604   0.09
197605   -0.17
197606   -0.23
197607   -0.23
197608   -0.21
197609   -0.06
197610   -0.84
197611   -0.44
197612   -0.15
197701   -0.49
197702   0.31
197703   0.66
197704   0.57
197705   0.42
197706   0.45
197707   0.21
197708   0.09
197709   0.16
197710   -0.05
197711   0.56
197712   0.06
197801   0.16
197802   0.20
197803   0.47
197804   0.29
197805   0.04
197806   -0.10
197807   -0.03
197808   -0.23
197809   0.01
197810   0.07
197811   0.32
197812   0.04
197901   -0.06
197902   -0.18
197903   0.28
197904   -0.20
197905   0.09
197906   0.12
197907   0.09
197908   0.17
197909   0.19
197910   0.34
197911   0.24
197912   0.96
198001   0.19
198002   0.43
198003   0.02
198004   0.43
198005   0.48
198006   0.25
198007   0.22
198008   0.24
198009   0.20
198010   0.25
198011   0.63
198012   0.39
198101   1.19
198102   0.90
198103   0.97
198104   0.69
198105   0.31
198106   0.28
198107   0.21
198108   0.38
198109   0.14
198110   0.05
198111   0.29
198112   0.89
198201   -0.13
198202   0.17
198203   -0.14
198204   0.33
198205   0.14
198206   -0.02
198207   0.20
198208   0.12
198209   0.23
198210   -0.06
198211   -0.18
198212   0.72
198301   0.88
198302   0.86
198303   0.62
198304   0.23
198305   0.32
198306   0.18
198307   0.34
198308   0.52
198309   0.50
198310   0.26
198311   0.99
198312   0.32
198401   0.37
198402   -0.01
198403   0.46
198404   0.09
198405   0.60
198406   0.07
198407   0.06
198408   0.14
198409   -0.09
198410   0.05
198411   -0.22
198412   -0.73
198501   0.31
198502   -0.35
198503   0.28
198504   0.28
198505   0.29
198506   0.11
198507   -0.11
198508   0.20
198509   -0.05
198510   0.05
198511   0.00
198512   0.21
198601   0.76
198602   0.53
198603   0.63
198604   0.52
198605   0.44
198606   0.31
198607   0.06
198608   0.18
198609   0.03
198610   0.08
198611   -0.05
198612   0.16
198701   0.48
198702   1.16
198703   0.13
198704   0.33
198705   0.43
198706   0.31
198707   0.55
198708   0.33
198709   0.48
198710   0.19
198711   0.09
198712   0.91
198801   0.81
198802   0.36
198803   0.75
198804   0.70
198805   0.55
198806   0.64
198807   0.53
198808   0.46
198809   0.52
198810   0.47
198811   0.40
198812   0.82
198901   0.20
198902   0.48
198903   0.65
198904   0.34
198905   0.37
198906   0.22
198907   0.30
198908   0.27
198909   0.27
198910   0.37
198911   0.17
198912   0.73
199001   0.56
199002   0.60
199003   1.67
199004   0.80
199005   0.59
199006   0.53
199007   0.28
199008   0.43
199009   0.30
199010   0.59
199011   0.83
199012   0.68
199101   0.69
199102   0.82
199103   0.41
199104   0.83
199105   0.47
199106   0.71
199107   0.47
199108   0.41
199109   0.48
199110   0.41
199111   0.37
199112   0.30
199201   0.99
199202   0.82
199203   0.74
199204   0.28
199205   0.29
199206   0.13
199207   -0.20
199208   -0.06
199209   -0.26
199210   -0.11
199211   -0.14
199212   0.46
199301   0.68
199302   0.69
199303   0.82
199304   0.37
199305   0.38
199306   0.32
199307   0.29
199308   0.21
199309   0.04
199310   0.24
199311   -0.31
199312   0.52
199401   0.48
199402   -0.28
199403   0.72
199404   0.57
199405   0.66
199406   0.64
199407   0.34
199408   0.30
199409   0.48
199410   0.65
199411   0.71
199412   0.53
199501   1.04
199502   1.59
199503   0.82
199504   0.62
199505   0.48
199506   0.75
199507   0.53
199508   0.81
199509   0.66
199510   0.75
199511   0.75
199512   0.51
199601   0.19
199602   0.78
199603   0.32
199604   0.08
199605   0.56
199606   0.36
199607   0.43
199608   0.36
199609   0.11
199610   0.13
199611   0.28
199612   0.54
199701   0.52
199702   0.73
199703   0.78
199704   0.60
199705   0.42
199706   0.64
199707   0.48
199708   0.60
199709   0.76
199710   0.81
199711   0.58
199712   0.74
199801   0.72
199802   1.69
199803   0.92
199804   1.23
199805   0.98
199806   1.00
199807   1.14
199808   1.10
199809   0.83
199810   0.72
199811   0.34
199812   1.12
199901   1.00
199902   1.69
199903   0.37
199904   0.77
199905   0.63
199906   0.63
199907   0.67
199908   0.55
199909   0.66
199910   0.63
199911   0.62
199912   1.19
200001   0.51
200002   1.08
200003   1.08
200004   1.33
200005   0.72
200006   0.62
200007   0.54
200008   0.67
200009   0.51
200010   0.21
200011   0.05
200012   0.22
